target,architecture,alpha,train_fraction,fold,n_training_structures,n_validation_structures,fit_seconds,epochs,r2,mae,rmse
target_fodft_coupling_abs_ev,128-64-32,0.01,1.0,2,1755,439,31.10418339201715,128,0.9286081281434804,0.042649828685025065,0.05757796308499792
target_fodft_coupling_abs_ev,128-64-32,0.01,1.0,3,1755,439,25.053788459976204,174,0.9280160636962713,0.04083690619413201,0.0592170106647456
target_fodft_coupling_abs_ev,128-64-32,0.01,1.0,4,1755,439,23.347182733006775,98,0.9332324230310268,0.04139244224101491,0.05752449172706772
target_fodft_coupling_abs_ev,128-64-32,0.01,1.0,5,1756,438,27.27416313602589,135,0.9316366695000459,0.042128944730341705,0.058287773595759075
target_frontier_gap_ev,128-64-32,0.01,0.25,1,438,439,6.316092179971747,81,0.9050543577275915,0.06520992256676407,0.11061447716382278
target_frontier_gap_ev,128-64-32,0.01,0.25,2,438,439,11.620969379902817,128,0.8420130128000061,0.0646115580808364,0.14342774437988715
target_frontier_gap_ev,128-64-32,0.01,0.25,3,438,439,16.739696920034476,155,0.9159952540706107,0.06407679927520409,0.10741415617294203
target_frontier_gap_ev,128-64-32,0.01,0.25,4,438,439,8.595317317987792,85,-0.3217806958773308,0.08140673432537003,0.4194523368770032
target_frontier_gap_ev,128-64-32,0.01,0.25,5,439,438,9.814546631998383,94,0.9364154909886517,0.06744020270733964,0.09262194300623433
target_frontier_gap_ev,128-64-32,0.01,0.5,1,877,439,22.600471266079694,123,0.9599911700651986,0.05171597170908032,0.07180461828943834
target_frontier_gap_ev,128-64-32,0.01,0.5,2,877,439,21.8452362929238,99,0.950457724770735,0.052827536705821465,0.08031755581529722
target_frontier_gap_ev,128-64-32,0.01,0.5,3,877,439,24.05259198497515,114,0.9606525662009475,0.05484074032446844,0.07351362124529763
target_frontier_gap_ev,128-64-32,0.01,0.5,4,877,439,15.018648681929335,65,0.8857654416909082,0.06111823301474263,0.12331095728786483
target_frontier_gap_ev,128-64-32,0.01,0.5,5,878,438,20.872135821031407,105,0.962578516232897,0.05147519636040544,0.07105566821116706
target_frontier_gap_ev,128-64-32,0.01,0.75,1,1316,439,27.869962306926027,135,0.9655967163230692,0.04658916134550473,0.06658469286570146
target_frontier_gap_ev,128-64-32,0.01,0.75,2,1316,439,28.054948581033386,137,0.9662750113018591,0.04944115129311065,0.06626716882191157
target_frontier_gap_ev,128-64-32,0.01,0.75,3,1316,439,29.779721018043347,180,0.9660892883634893,0.04777858426781,0.06824613511461672
target_frontier_gap_ev,128-64-32,0.01,0.75,4,1316,439,29.316548013011925,163,0.9671411448793262,0.04529868407694458,0.06613466068016384
target_frontier_gap_ev,128-64-32,0.01,0.75,5,1317,438,23.090349243953824,99,0.9536453418761889,0.048386749473536196,0.07908332442539616
