target,architecture,hidden_layer_sizes,n_hidden_layers,alpha,weights,biases,trainable_parameters,fold,n_fold_train,n_fold_validation,fit_seconds,epochs,final_scaled_loss,best_internal_validation_score,r2,mae,rmse
target_interaction_energy_kcal_mol,16,"(16,)",1,0.001,320,17,337,1,1755,439,0.45606444391887635,139,0.04017120414872274,0.8694690651250148,0.9052555754959277,1.1221837697104606,1.530532431928854
target_interaction_energy_kcal_mol,16,"(16,)",1,0.001,320,17,337,2,1755,439,1.1459850070532411,313,0.03280130676133313,0.9282924003020319,0.9119405612315302,1.1030616119644814,1.452520017723244
target_interaction_energy_kcal_mol,16,"(16,)",1,0.001,320,17,337,3,1755,439,2.0910709319869056,596,0.027194759065825552,0.9279842373816544,0.9235211642584515,0.9770302642279617,1.3395412677801408
target_interaction_energy_kcal_mol,16,"(16,)",1,0.001,320,17,337,4,1755,439,1.717096806038171,480,0.025592038183927,0.931517612424924,0.8922500582450488,1.0574593295455454,1.5735724440261836
target_interaction_energy_kcal_mol,16,"(16,)",1,0.001,320,17,337,5,1756,438,1.4477881849743426,411,0.028983390900928472,0.9181511678587886,0.9134557757590529,1.0537777433622553,1.430140917524848
target_interaction_energy_kcal_mol,16,"(16,)",1,0.01,320,17,337,1,1755,439,0.49131677695550025,139,0.0409421729184488,0.8694197705650349,0.9066375302935661,1.1067521865154817,1.5193291537585443
target_interaction_energy_kcal_mol,16,"(16,)",1,0.01,320,17,337,2,1755,439,1.0730482069775462,313,0.03492432188819361,0.9280193057569229,0.9141799160608688,1.096548771754348,1.4339322656761806
target_interaction_energy_kcal_mol,16,"(16,)",1,0.01,320,17,337,3,1755,439,1.8118971700314432,552,0.030695596593723753,0.9268995398274437,0.9210179569493416,0.9751705157673974,1.3612868380399923
target_interaction_energy_kcal_mol,16,"(16,)",1,0.01,320,17,337,4,1755,439,1.779764982056804,480,0.02835766474157402,0.9315218371234432,0.8942922468003653,1.039233364120886,1.5585891217343772
target_interaction_energy_kcal_mol,16,"(16,)",1,0.01,320,17,337,5,1756,438,1.4540756479837,408,0.031456742397488455,0.9181673230370233,0.9168943219146515,1.0446142766858366,1.4014420244498793
