target,n_estimators,min_samples_leaf,fold,n_fold_train,n_fold_validation,fit_seconds,nodes_total,leaves_total,mean_tree_depth,r2,mae,rmse
target_frontier_gap_ev,50,3,5,1756,438,0.18619419494643807,47982,24016,22.9,0.9689285484858845,0.04078982829963036,0.06474690260261359
target_frontier_gap_ev,50,5,1,1755,439,0.15020885097328573,27164,13607,19.98,0.9708362443091241,0.04217239419005445,0.061305039740063856
target_frontier_gap_ev,50,5,2,1755,439,0.1470026010647416,27072,13561,19.48,0.968001787045361,0.045368627619476166,0.06454838372548269
target_frontier_gap_ev,50,5,3,1755,439,0.14682639495003968,27182,13616,19.7,0.95721616617234,0.04485500559910851,0.07665658346559634
target_frontier_gap_ev,50,5,4,1755,439,0.14729361701756716,27236,13643,20.12,0.9737221578433801,0.04258021241711308,0.05914223950565845
target_frontier_gap_ev,50,5,5,1756,438,0.14667849999386817,27146,13598,19.92,0.9576422969200371,0.04514221402338147,0.07559697665019038
target_frontier_gap_ev,50,10,1,1755,439,0.11140948499087244,12836,6443,15.7,0.9618010518250654,0.04842100027025085,0.07016170832651887
target_frontier_gap_ev,50,10,2,1755,439,0.11232682003173977,12902,6476,15.98,0.9552347940780683,0.05203488205675248,0.0763471453451275
target_frontier_gap_ev,50,10,3,1755,439,0.11166024301201105,12894,6472,15.52,0.9447142222729665,0.05233425449985394,0.08713975236446692
target_frontier_gap_ev,50,10,4,1755,439,0.11185529094655067,12880,6465,16.26,0.9642835283808563,0.049112602630109733,0.06895046356663491
target_frontier_gap_ev,50,10,5,1756,438,0.11154481500852853,12892,6471,16.36,0.9420879147251848,0.051264350920549186,0.0883940083051355
target_frontier_gap_ev,100,1,1,1755,439,0.7124541359953582,350326,175213,30.15,0.9815118468195148,0.03480205922551251,0.04881139480347385
target_frontier_gap_ev,100,1,2,1755,439,0.7397227139445022,350254,175177,29.74,0.9776233468417896,0.037727136674259545,0.05397840842543904
target_frontier_gap_ev,100,1,3,1755,439,0.7138111960375682,350504,175302,29.14,0.9775400452861849,0.036060756264236916,0.05554104514771253
target_frontier_gap_ev,100,1,4,1755,439,0.7055617850273848,349988,175044,29.91,0.9813971820054278,0.03491276765375846,0.04976136493769449
target_frontier_gap_ev,100,1,5,1756,438,0.7106295950943604,350454,175277,30.53,0.9786466757904904,0.0362561415525115,0.05367486654293444
target_frontier_gap_ev,100,2,1,1755,439,0.4495241600088775,152014,76057,25.27,0.9795370052104527,0.035946805618830596,0.05135219944390858
